match_name,date,team,opponent,player_name,minutes,fg_made,fg_attempted,two_made,two_attempted,three_made,three_attempted,ft_made,ft_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,turnovers,steals,blocks,personal_fouls,fouls_drawn,plus_minus,efficiency,points,source_pdf
MLI vs EGY - 26 Feb 2026,26 Feb 2026,MLI,EGY,Fousseyni Drame,13:54,3,7,3,6,0,1,0,0,3,2,5,0,0,0,0,2,1,7,7,6,FIBA Box Score MLI vs EGY 26 February.pdf
MLI vs EGY - 26 Feb 2026,26 Feb 2026,MLI,EGY,Oumar Ballo,36:05,9,16,9,16,0,0,5,8,4,7,11,4,1,2,0,3,5,20,29,23,FIBA Box Score MLI vs EGY 26 February.pdf
MLI vs EGY - 26 Feb 2026,26 Feb 2026,MLI,EGY,Mahamane Coulibaly,33:29,3,10,3,8,0,2,2,2,2,3,5,3,3,1,0,3,1,23,7,8,FIBA Box Score MLI vs EGY 26 February.pdf
MLI vs EGY - 26 Feb 2026,26 Feb 2026,MLI,EGY,Hassan Drame,07:01,0,1,0,0,0,1,0,0,0,1,1,2,0,0,0,2,0,-14,2,0,FIBA Box Score MLI vs EGY 26 February.pdf
MLI vs EGY - 26 Feb 2026,26 Feb 2026,MLI,EGY,Mamadou Keita,03:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,FIBA Box Score MLI vs EGY 26 February.pdf
MLI vs EGY - 26 Feb 2026,26 Feb 2026,MLI,EGY,Tamandjan dit Youba Konate,01:59,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,-4,-1,0,FIBA Box Score MLI vs EGY 26 February.pdf
MLI vs EGY - 26 Feb 2026,26 Feb 2026,MLI,EGY,Moulaye Mamadou Sissoko,09:44,1,3,1,3,0,0,0,0,3,1,4,0,1,1,0,1,0,-2,4,2,FIBA Box Score MLI vs EGY 26 February.pdf
MLI vs EGY - 26 Feb 2026,26 Feb 2026,MLI,EGY,Mamoudou Diarra,20:38,6,10,4,6,2,4,4,4,2,5,7,0,2,0,0,1,4,2,19,18,FIBA Box Score MLI vs EGY 26 February.pdf
MLI vs EGY - 26 Feb 2026,26 Feb 2026,EGY,MLI,Ibrahim Zahran,10:47,1,3,1,1,0,2,0,0,1,1,2,1,0,0,0,0,0,-1,3,2,FIBA Box Score MLI vs EGY 26 February.pdf
MLI vs EGY - 26 Feb 2026,26 Feb 2026,EGY,MLI,Ehab Amin,27:53,3,10,3,6,0,4,0,0,1,1,2,4,1,3,0,1,4,-19,7,6,FIBA Box Score MLI vs EGY 26 February.pdf
MLI vs EGY - 26 Feb 2026,26 Feb 2026,EGY,MLI,Amr Abdelhalim,22:27,5,12,3,6,2,6,10,11,0,1,1,2,2,1,0,2,8,13,16,22,FIBA Box Score MLI vs EGY 26 February.pdf
