Match_ID,Match_Date,Team,Team_Code,Source_File,Name,No.,MIN,MIN_num,PTS,REB,AST,STL,BLK,TO,EF,OR,DR,PF,FD,+/-,FG_MA,FG_PCT,2PT_MA,2PT_PCT,3PT_MA,3PT_PCT,FT_MA,FT_PCT,FGM,FGA,2PTM,2PTA,3PTM,3PTA,FTM,FTA,DNP,Opponent_Code,Opponent,Player_Key,match_order,Returning_From_Absence,Past_Appearances,Player_First_Appearance,Overall_Avg_PTS,Recent_Avg_PTS,Overall_Avg_REB,Recent_Avg_REB,Overall_Avg_AST,Recent_Avg_AST,Overall_Avg_STL,Recent_Avg_STL,Overall_Avg_BLK,Recent_Avg_BLK,Overall_Avg_TO,Recent_Avg_TO,Overall_Avg_MIN_num,Recent_Avg_MIN_num,Overall_Average,Recent_Form_Average,EF_Trend,PTS_Trend,REB_Trend,AST_Trend,EF_StdDev,PTS_StdDev,MIN_StdDev,Last_EF,Last_PTS,Last_REB,Last_AST,Last_MIN_num,Last_Plus_Minus,EF_Ewm_3,Hist_PTS_Per_Min,Hist_REB_Per_Min,Hist_EF_Per_Min,Games_Played_Last_5_Slots,EF_Max_Prior,EF_Min_Prior,EF_Range_Prior,EF_Pct_Above_Mean,EF_Ewm_2,Last_2_EF_Avg,Cold_Start_Level,Top1_Similarity,Top3_Similarity_Avg,Top5_Similarity_Avg,Top3_Neighbor_EF_Avg,Top5_Neighbor_EF_Avg,Top3_Neighbor_PTS_Avg,Top3_Neighbor_MIN_Avg,Opponent_Profile_Proxy_Team,Opponent_Profile_ColdStart,Opponent_Profile_Unresolved,opp_profile_fast_break_points,opp_profile_def_rebounds,opp_profile_turnovers,opp_profile_points_from_turnovers,opp_profile_second_chance_points,opp_profile_bench_points,hist_pm_avg_on_diff,hist_pm_avg_off_diff,hist_pm_avg_net_impact,hist_pm_avg_on_pts_per_min,hist_pm_trend_on_diff,hist_pm_stddev_on_diff,hist_lineup_avg_segments,hist_lineup_avg_weighted_diff,hist_lineup_avg_best_diff,hist_lineup_avg_worst_diff,hist_lineup_avg_total_minutes,hist_lineup_stability,hist_pbp_avg_substitutions,hist_pbp_avg_turnovers,hist_pbp_avg_fouls,hist_pbp_avg_off_reb,hist_pbp_avg_def_reb,hist_pbp_avg_steals,hist_pbp_avg_assists,hist_pbp_avg_fast_break,hist_pbp_trend_turnovers,hist_pbp_2pt_rate,hist_pbp_3pt_rate,hist_pbp_ft_rate
29779-D-1,"=""2026-02-26""",Mali,MLI,C:\Users\Acer\Desktop\data\FIBA Box Score MLI vs EGY 26 February.pdf,Soumaila Sissouma,1,01:08,1.1333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0/0,0.0,0/0,0.0,0/0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,EGY,Egypt,MLI|soumaila sissouma|1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_PROXY,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29779-D-1,"=""2026-02-26""",Mali,MLI,C:\Users\Acer\Desktop\data\FIBA Box Score MLI vs EGY 26 February.pdf,Siriman Kanoute,4,31:13,31.2167,22.0,11.0,1.0,3.0,6.0,0.0,31.0,2.0,9.0,10.0,4.0,18.0,8/12,66.7,7/11,63.6,1/1,100.0,5/10,50.0,8.0,12.0,7.0,11.0,1.0,1.0,5.0,10.0,0,EGY,Egypt,MLI|siriman kanoute|4,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_PROXY,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29779-D-1,"=""2026-02-26""",Mali,MLI,C:\Users\Acer\Desktop\data\FIBA Box Score MLI vs EGY 26 February.pdf,Allaye Togo,8,06:48,6.8,3.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,-5.0,1/3,33.3,0/1,0.0,1/2,50.0,0/0,0.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,0,EGY,Egypt,MLI|allaye togo|8,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_PROXY,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29779-D-1,"=""2026-02-26""",Mali,MLI,C:\Users\Acer\Desktop\data\FIBA Box Score MLI vs EGY 26 February.pdf,Ibrahima Cherif Haidara,9,34:11,34.1833,4.0,6.0,2.0,1.0,0.0,7.0,12.0,1.0,5.0,1.0,0.0,0.0,2/10,20.0,2/4,50.0,0/6,0.0,0/0,0.0,2.0,10.0,2.0,4.0,0.0,6.0,0.0,0.0,0,EGY,Egypt,MLI|ibrahima cherif haidara|9,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_PROXY,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29779-D-1,"=""2026-02-26""",Mali,MLI,C:\Users\Acer\Desktop\data\FIBA Box Score MLI vs EGY 26 February.pdf,Fousseyni Drame,10,13:54,13.9,6.0,5.0,0.0,2.0,1.0,0.0,7.0,3.0,2.0,0.0,0.0,7.0,3/7,42.9,3/6,50.0,0/1,0.0,0/0,0.0,3.0,7.0,3.0,6.0,0.0,1.0,0.0,0.0,0,EGY,Egypt,MLI|fousseyni drame|10,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_PROXY,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29779-D-1,"=""2026-02-26""",Mali,MLI,C:\Users\Acer\Desktop\data\FIBA Box Score MLI vs EGY 26 February.pdf,Oumar Ballo,11,36:05,36.0833,23.0,11.0,2.0,3.0,5.0,0.0,29.0,4.0,7.0,4.0,1.0,20.0,9/16,56.2,9/16,56.2,0/0,0.0,5/8,62.5,9.0,16.0,9.0,16.0,0.0,0.0,5.0,8.0,0,EGY,Egypt,MLI|oumar ballo|11,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_PROXY,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29779-D-1,"=""2026-02-26""",Mali,MLI,C:\Users\Acer\Desktop\data\FIBA Box Score MLI vs EGY 26 February.pdf,Mahamane Coulibaly,12,33:29,33.4833,8.0,5.0,1.0,3.0,1.0,0.0,7.0,2.0,3.0,3.0,3.0,23.0,3/10,30.0,3/8,37.5,0/2,0.0,2/2,100.0,3.0,10.0,3.0,8.0,0.0,2.0,2.0,2.0,0,EGY,Egypt,MLI|mahamane coulibaly|12,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_PROXY,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29779-D-1,"=""2026-02-26""",Mali,MLI,C:\Users\Acer\Desktop\data\FIBA Box Score MLI vs EGY 26 February.pdf,Hassan Drame,14,07:01,7.0167,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,-14.0,0/1,0.0,0/0,0.0,0/1,0.0,0/0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,EGY,Egypt,MLI|hassan drame|14,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_PROXY,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29779-D-1,"=""2026-02-26""",Mali,MLI,C:\Users\Acer\Desktop\data\FIBA Box Score MLI vs EGY 26 February.pdf,Mamadou Keita,16,03:50,3.8333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0/0,0.0,0/0,0.0,0/0,0.0,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,EGY,Egypt,MLI|mamadou keita|16,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_PROXY,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29779-D-1,"=""2026-02-26""",Mali,MLI,C:\Users\Acer\Desktop\data\FIBA Box Score MLI vs EGY 26 February.pdf,Tamandjan dit Youba Konate,20,01:59,1.9833,0.0,0.0,0.0,2.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-4.0,0/1,0.0,0/0,0.0,0/1,0.0,0/0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,EGY,Egypt,MLI|tamandjan dit youba konate|20,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_PROXY,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
